type, Leaf Node,Leaf Interface,Leaf IP Address,Port-Channel,Peer Node,Peer Interface,Peer IP Address,Port-Channel
L3 Leaf,Leaf1,Ethernet2,172.31.255.1/31,N/A,Spine1,Ethernet2,172.31.255.0/31,N/A
L3 Leaf,Leaf1,Ethernet3,172.31.255.3/31,N/A,Spine2,Ethernet2,172.31.255.2/31,N/A
L3 Leaf,Leaf2,Ethernet2,172.31.255.5/31,N/A,Spine1,Ethernet3,172.31.255.4/31,N/A
L3 Leaf,Leaf2,Ethernet3,172.31.255.7/31,N/A,Spine2,Ethernet3,172.31.255.6/31,N/A
L3 Leaf,Leaf3,Ethernet2,172.31.255.9/31,N/A,Spine1,Ethernet4,172.31.255.8/31,N/A
L3 Leaf,Leaf3,Ethernet3,172.31.255.11/31,N/A,Spine2,Ethernet4,172.31.255.10/31,N/A
L3 Leaf,Leaf4,Ethernet2,172.31.255.13/31,N/A,Spine1,Ethernet5,172.31.255.12/31,N/A
L3 Leaf,Leaf4,Ethernet3,172.31.255.15/31,N/A,Spine2,Ethernet5,172.31.255.14/31,N/A
L2 Leaf,Host1,Ethernet1,N/A,Po1,Leaf1,Ethernet4,N/A,Po4
L2 Leaf,Host1,Ethernet3,N/A,Po1,Leaf1,Ethernet5,N/A,Po4
L2 Leaf,Host1,Ethernet2,N/A,Po1,Leaf2,Ethernet4,N/A,Po4
L2 Leaf,Host1,Ethernet4,N/A,Po1,Leaf2,Ethernet5,N/A,Po4
L2 Leaf,DC1-L2LEAF2A,Ethernet1,N/A,Po1,Leaf3,Ethernet4,N/A,Po4
L2 Leaf,DC1-L2LEAF2A,Ethernet3,N/A,Po1,Leaf3,Ethernet5,N/A,Po4
L2 Leaf,DC1-L2LEAF2A,Ethernet2,N/A,Po1,Leaf4,Ethernet4,N/A,Po4
L2 Leaf,DC1-L2LEAF2A,Ethernet4,N/A,Po1,Leaf4,Ethernet5,N/A,Po4
